code\After Brooklyn.html 	atbash,Keyboard
code\What Separates Us From ADA.html 	decimal,keyboard flip,substitution,transposition,vigenere
code\Klue’s Nightmares and her Dream.html 	keyword substitution,live code,reverse,rot,transposition
code\Mission in San Diego Accomplished.html 	alphabet index,decimal,keyword substitution,morse,reverse,run length encoding
code\An Engineered Escape.html 	Keyboard,keyword substitution,Leetspeak,morse,morse code,reverse,rot,substitution
code\Top Line Report San Diego Intel Mission.html 	keyword substitution,phone,rot,transposition
code\Complex and Impure.html 	ASCII Art,binary,hexadecimal,Leetspeak,morse,transposition
code\Acolyte’s Compound Attacked.html 	atbash,decimal,reverse,rot,transposition
code\Stockpiles.html 	decimal,hexadecimal atbash,Keyboard,phone
